GO:0000001	mitochondrion inheritance
GO:0042666	negative regulation of ectodermal cell fate specification
GO:0042667	auditory receptor cell fate specification
GO:0042668	auditory receptor cell fate determination
GO:0042669	regulation of auditory receptor cell fate specification
GO:0042675	compound eye cone cell differentiation
GO:0042676	compound eye cone cell fate commitment
GO:0042679	compound eye cone cell fate specification
GO:0042680	compound eye cone cell fate determination
GO:0042682	regulation of compound eye cone cell fate specification
GO:0042683	negative regulation of compound eye cone cell fate specification
GO:0042690	negative regulation of crystal cell differentiation
GO:0042691	positive regulation of crystal cell differentiation
GO:0042698	ovulation cycle
GO:0042699	follicle-stimulating hormone signaling pathway
GO:0042700	luteinizing hormone signaling pathway
GO:0042711	maternal behavior
GO:0042712	paternal behavior
GO:0042715	dosage compensation complex assembly during dosage compensation by hypoactivation of X chromosome
GO:0042716	chromatophore
GO:0042719	mitochondrial intermembrane space protein transporter complex
GO:0042720	mitochondrial inner membrane peptidase complex
GO:0042721	mitochondrial inner membrane protein insertion complex
GO:0042722	alpha-beta T cell activation by superantigen
GO:0042723	thiamin and derivative metabolic process
GO:0042724	thiamin and derivative biosynthetic process
GO:0042725	thiamin and derivative catabolic process
GO:0042726	riboflavin and derivative metabolic process
GO:0042727	riboflavin and derivative biosynthetic process
GO:0042728	riboflavin and derivative catabolic process
GO:0042729	DASH complex
GO:0042732	D-xylose metabolic process
GO:0042736	NADH kinase activity
GO:0042737	drug catabolic process
GO:0042738	exogenous drug catabolic process
GO:0042739	endogenous drug catabolic process
GO:0042740	exogenous antibiotic catabolic process
GO:0042741	endogenous antibiotic catabolic process
GO:0042742	defense response to bacterium
GO:0042743	hydrogen peroxide metabolic process
GO:0042744	hydrogen peroxide catabolic process
GO:0042753	positive regulation of circadian rhythm
GO:0042754	negative regulation of circadian rhythm
GO:0042755	eating behavior
GO:0042756	drinking behavior
GO:0042758	long-chain fatty acid catabolic process
GO:0042759	long-chain fatty acid biosynthetic process
GO:0042760	very-long-chain fatty acid catabolic process
GO:0042761	very-long-chain fatty acid biosynthetic process
GO:0042762	regulation of sulfur metabolic process
GO:0042763	intracellular immature spore
GO:0042764	ascospore-type prospore
GO:0042765	GPI-anchor transamidase complex
GO:0042769	DNA damage response, detection of DNA damage
GO:0042774	plasma membrane ATP synthesis coupled electron transport
GO:0042775	organelle ATP synthesis coupled electron transport
GO:0042776	mitochondrial ATP synthesis coupled proton transport
GO:0042777	plasma membrane ATP synthesis coupled proton transport
GO:0042780	tRNA 3'-end processing
GO:0042781	3'-tRNA processing endoribonuclease activity
GO:0042782	passive evasion of host immune response
GO:0042783	active evasion of host immune response
GO:0042784	active evasion of host immune response via regulation of host complement system
GO:0042785	active evasion of host immune response via regulation of host cytokine network
GO:0042786	active evasion of host immune response via regulation of host antigen processing and presentation
GO:0042787	protein ubiquitination during ubiquitin-dependent protein catabolic process
GO:0042788	polysomal ribosome
GO:0042789	mRNA transcription from RNA polymerase II promoter
GO:0042790	transcription of nuclear rRNA large RNA polymerase I transcript
GO:0042791	5S class rRNA transcription
GO:0042793	transcription from plastid promoter
GO:0042795	snRNA transcription from RNA polymerase II promoter
GO:0042796	snRNA transcription from RNA polymerase III promoter
GO:0042797	tRNA transcription from RNA polymerase III promoter
GO:0042798	protein neddylation during NEDD8 class-dependent protein catabolic process
GO:0042799	histone lysine N-methyltransferase activity (H4-K20 specific)
GO:0042800	histone lysine N-methyltransferase activity (H3-K4 specific)
GO:0042802	identical protein binding
GO:0042803	protein homodimerization activity
GO:0042804	protein homooligomerization activity
GO:0042809	vitamin D receptor binding
GO:0042810	pheromone metabolic process
GO:0042811	pheromone biosynthetic process
GO:0042812	pheromone catabolic process
GO:0042813	Wnt receptor activity
GO:0042814	monopolar cell growth
GO:0042815	bipolar cell growth
GO:0042816	vitamin B6 metabolic process
GO:0042817	pyridoxal metabolic process
GO:0042818	pyridoxamine metabolic process
GO:0042819	vitamin B6 biosynthetic process
GO:0042820	vitamin B6 catabolic process
GO:0042821	pyridoxal biosynthetic process
GO:0042822	pyridoxal phosphate metabolic process
GO:0042823	pyridoxal phosphate biosynthetic process
GO:0042825	TAP complex
GO:0042827	platelet dense granule
GO:0042832	defense response to protozoan
GO:0042836	D-glucarate metabolic process
GO:0042837	D-glucarate biosynthetic process
GO:0042838	D-glucarate catabolic process
GO:0042839	D-glucuronate metabolic process
GO:0042840	D-glucuronate catabolic process
GO:0042841	D-glucuronate biosynthetic process
GO:0042842	D-xylose biosynthetic process
GO:0042843	D-xylose catabolic process
GO:0042844	glycol metabolic process
GO:0042845	glycol biosynthetic process
GO:0042846	glycol catabolic process
GO:0042847	sorbose biosynthetic process
GO:0042848	sorbose catabolic process
GO:0042849	L-sorbose biosynthetic process
GO:0042850	L-sorbose catabolic process
GO:0042851	L-alanine metabolic process
GO:0042852	L-alanine biosynthetic process
GO:0042853	L-alanine catabolic process
GO:0042854	eugenol metabolic process
GO:0042855	eugenol biosynthetic process
GO:0042856	eugenol catabolic process
GO:0042857	chrysobactin metabolic process
GO:0042858	chrysobactin biosynthetic process
GO:0042859	chrysobactin catabolic process
GO:0042860	achromobactin metabolic process
GO:0042861	achromobactin biosynthetic process
GO:0042862	achromobactin catabolic process
GO:0042863	pyochelin metabolic process
GO:0042864	pyochelin biosynthetic process
GO:0042865	pyochelin catabolic process
GO:0042866	pyruvate biosynthetic process
GO:0042867	pyruvate catabolic process
GO:0042868	antisense RNA metabolic process
GO:0042872	D-galactarate biosynthetic process
GO:0042883	cysteine transport
GO:0042887	amide transporter activity
GO:0042889	3-phenylpropionic acid transport
GO:0042890	3-phenylpropionic acid transmembrane transporter activity
GO:0042904	9-cis-retinoic acid biosynthetic process
GO:0042905	9-cis-retinoic acid metabolic process
GO:0042918	alkanesulfonate transport
GO:0042920	3-hydroxyphenylpropionic acid transport
GO:0042921	glucocorticoid receptor signaling pathway
GO:0042924	neuromedin U binding
GO:0042926	3-hydroxyphenylpropionic acid transporter activity
GO:0042927	siderophore transporter activity
GO:0042930	enterobactin transport
GO:0042931	enterobactin transporter activity
GO:0042943	D-amino acid transmembrane transporter activity
GO:0042944	D-alanine transmembrane transporter activity
GO:0042945	D-serine transmembrane transporter activity
GO:0042952	beta-ketoadipate pathway
GO:0042959	alkanesulfonate transporter activity
GO:0042960	antimonite secondary active transmembrane transporter activity
GO:0042961	antimonite-transporting ATPase activity
GO:0042962	acridine:hydrogen antiporter activity
GO:0042963	phage assembly
GO:0042964	thioredoxin biosynthetic process
GO:0042965	glutaredoxin biosynthetic process
GO:0042966	biotin carboxyl carrier protein biosynthetic process
GO:0042967	acyl-carrier-protein biosynthetic process
GO:0042970	homoserine transmembrane transporter activity
GO:0042972	licheninase activity
GO:0042973	glucan endo-1,3-beta-D-glucosidase activity
GO:0042974	retinoic acid receptor binding
GO:0042975	peroxisome proliferator activated receptor binding
GO:0042976	activation of JAK protein
GO:0042977	activation of JAK2 protein
GO:0042978	ornithine decarboxylase activator activity
GO:0042980	cystic fibrosis transmembrane conductance regulator binding
GO:0042981	regulation of apoptosis
GO:0042982	amyloid precursor protein metabolic process
GO:0042983	amyloid precursor protein biosynthetic process
GO:0042984	regulation of amyloid precursor protein biosynthetic process
GO:0042985	negative regulation of amyloid precursor protein biosynthetic process
GO:0042986	positive regulation of amyloid precursor protein biosynthetic process
GO:0042987	amyloid precursor protein catabolic process
GO:0042988	X11-like protein binding
GO:0042989	sequestering of actin monomers
GO:0042990	regulation of transcription factor import into nucleus
GO:0042991	transcription factor import into nucleus
GO:0042992	negative regulation of transcription factor import into nucleus
GO:0042993	positive regulation of transcription factor import into nucleus
GO:0042994	cytoplasmic sequestering of transcription factor
GO:0042997	negative regulation of Golgi to plasma membrane protein transport
GO:0042998	positive regulation of Golgi to plasma membrane protein transport
GO:0043000	Golgi to plasma membrane CFTR protein transport
GO:0043002	negative regulation of Golgi to plasma membrane CFTR protein transport
GO:0043003	positive regulation of Golgi to plasma membrane CFTR protein transport
GO:0043004	cytoplasmic sequestering of CFTR protein
GO:0043005	neuron projection
GO:0043007	maintenance of rDNA
GO:0043009	chordate embryonic development
GO:0043010	camera-type eye development
GO:0043011	myeloid dendritic cell differentiation
GO:0043012	regulation of fusion of sperm to egg plasma membrane
GO:0043013	negative regulation of fusion of sperm to egg plasma membrane
GO:0043014	alpha-tubulin binding
GO:0043015	gamma-tubulin binding
GO:0043016	regulation of lymphotoxin A biosynthetic process
GO:0043017	positive regulation of lymphotoxin A biosynthetic process
GO:0043018	negative regulation of lymphotoxin A biosynthetic process
GO:0043020	NADPH oxidase complex
GO:0043021	ribonucleoprotein binding
GO:0043022	ribosome binding
GO:0043025	cell soma
GO:0043029	T cell homeostasis
GO:0043031	negative regulation of macrophage activation
GO:0043032	positive regulation of macrophage activation
GO:0043033	isoamylase complex
GO:0043036	starch grain
GO:0043039	tRNA aminoacylation
GO:0043040	tRNA aminoacylation for nonribosomal peptide biosynthetic process
GO:0043042	amino acid adenylylation by nonribosomal peptide synthase
GO:0043043	peptide biosynthetic process
GO:0043044	ATP-dependent chromatin remodeling
GO:0043045	DNA methylation during embryonic development
GO:0043046	DNA methylation during gametogenesis
GO:0043048	dolichyl monophosphate biosynthetic process
GO:0043050	pharyngeal pumping
GO:0043052	thermotaxis
GO:0043053	dauer entry
GO:0043054	dauer exit
GO:0043055	maintenance of dauer
GO:0043062	extracellular structure organization and biogenesis
GO:0043063	intercellular bridge organization and biogenesis
GO:0043064	flagellum organization and biogenesis
GO:0043065	positive regulation of apoptosis
GO:0043066	negative regulation of apoptosis
GO:0043068	positive regulation of programmed cell death
GO:0043069	negative regulation of programmed cell death
GO:0043070	regulation of non-apoptotic programmed cell death
GO:0043071	positive regulation of non-apoptotic programmed cell death
GO:0043072	negative regulation of non-apoptotic programmed cell death
GO:0043073	germ cell nucleus
GO:0043075	sperm cell nucleus (sensu Magnoliophyta)
GO:0043076	megasporocyte nucleus
GO:0043077	initiation of acetate catabolic process
GO:0043082	megagametophyte egg cell nucleus
GO:0043085	positive regulation of catalytic activity
GO:0043086	negative regulation of catalytic activity
GO:0043089	positive regulation of Cdc42 GTPase activity
GO:0043090	amino acid import
GO:0043091	L-arginine import
GO:0043092	L-amino acid import
GO:0043103	hypoxanthine salvage
GO:0043104	positive regulation of GTP cyclohydrolase I activity
GO:0043105	negative regulation of GTP cyclohydrolase I activity
GO:0043107	type IV pilus-dependent motility
GO:0043110	rDNA spacer replication fork barrier binding
GO:0043111	replication fork arrest
GO:0043112	receptor metabolic process
GO:0043115	precorrin-2 dehydrogenase activity
GO:0043116	negative regulation of vascular permeability
GO:0043117	positive regulation of vascular permeability
GO:0043121	neurotrophin binding
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB cascade
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB cascade
GO:0043125	ErbB-3 class receptor binding
GO:0043126	regulation of 1-phosphatidylinositol 4-kinase activity
GO:0043127	negative regulation of 1-phosphatidylinositol 4-kinase activity
GO:0043128	positive regulation of 1-phosphatidylinositol 4-kinase activity
GO:0043132	NAD transport
GO:0043135	5-phosphoribosyl 1-pyrophosphate pyrophosphatase activity
GO:0043137	DNA replication, removal of RNA primer
GO:0043138	3'-5' DNA helicase activity
GO:0043139	5'-3' DNA helicase activity
GO:0043140	ATP-dependent 3'-5' DNA helicase activity
GO:0043141	ATP-dependent 5'-3' DNA helicase activity
GO:0043142	single-stranded DNA-dependent ATPase activity
GO:0043143	translational machinery localization
GO:0043149	stress fiber formation
GO:0043154	negative regulation of caspase activity
GO:0043155	negative regulation of photosynthesis, light reaction
GO:0043158	heterocyst differentiation
GO:0043161	proteasomal ubiquitin-dependent protein catabolic process
GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body pathway
GO:0043163	cell envelope organization and biogenesis
GO:0043164	1-2nm peptidoglycan-based cell wall biogenesis
GO:0043165	cell outer membrane biogenesis
GO:0043166	H4/H2A histone acetyltransferase activity
GO:0043167	ion binding
GO:0043170	macromolecule metabolic process
GO:0043171	peptide catabolic process
GO:0043172	ferredoxin biosynthetic process
GO:0043181	vacuolar sequestering
GO:0043182	vacuolar sequestering of sodium ion
GO:0043183	vascular endothelial growth factor receptor 1 binding
GO:0043184	vascular endothelial growth factor receptor 2 binding
GO:0043185	vascular endothelial growth factor receptor 3 binding
GO:0043187	cell septum surface
GO:0043188	cell septum edging
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0043190	ATP-binding cassette (ABC) transporter complex
GO:0043193	positive regulation of gene-specific transcription
GO:0043195	terminal button
GO:0043200	response to amino acid stimulus
GO:0043204	perikaryon
GO:0043206	fibril organization and biogenesis
GO:0043211	carbohydrate-transporting ATPase activity
GO:0043214	bacteriocin-transporting ATPase activity
GO:0043216	daunorubicin-transporting ATPase activity
GO:0043223	cytoplasmic SCF ubiquitin ligase complex
GO:0043224	nuclear SCF ubiquitin ligase complex
GO:0043225	anion transmembrane-transporting ATPase activity
GO:0043227	membrane-bounded organelle
GO:0043228	non-membrane-bounded organelle
GO:0043231	intracellular membrane-bounded organelle
GO:0043232	intracellular non-membrane-bounded organelle
GO:0043240	Fanconi anaemia nuclear complex
GO:0043242	negative regulation of protein complex disassembly
GO:0043243	positive regulation of protein complex disassembly
GO:0043248	proteasome assembly
GO:0043249	erythrocyte maturation
GO:0043255	regulation of carbohydrate biosynthetic process
GO:0043262	adenosine-diphosphatase activity
GO:0043264	extracellular non-membrane-bounded organelle
GO:0043266	regulation of potassium ion transport
GO:0043267	negative regulation of potassium ion transport
GO:0043268	positive regulation of potassium ion transport
GO:0043270	positive regulation of ion transport
GO:0043271	negative regulation of ion transport
GO:0043272	ethylene biosynthetic process during jasmonic acid and ethylene-dependent systemic resistance
GO:0043273	CTPase activity
GO:0043275	glutamate carboxypeptidase II activity
GO:0043276	anoikis
GO:0043277	apoptotic cell clearance
GO:0043280	positive regulation of caspase activity
GO:0043281	regulation of caspase activity
GO:0043283	biopolymer metabolic process
GO:0043284	biopolymer biosynthetic process
GO:0043285	biopolymer catabolic process
GO:0043286	regulation of poly(3-hydroxyalkanoate) biosynthetic process
GO:0043287	poly(3-hydroxyalkanoate) binding
GO:0043288	apocarotenoid metabolic process
GO:0043289	apocarotenoid biosynthetic process
GO:0043290	apocarotenoid catabolic process
GO:0043291	RAVE complex
GO:0043292	contractile fiber
GO:0043299	leukocyte degranulation
GO:0043300	regulation of leukocyte degranulation
GO:0043301	negative regulation of leukocyte degranulation
GO:0043302	positive regulation of leukocyte degranulation
GO:0043303	mast cell degranulation
GO:0043304	regulation of mast cell degranulation
GO:0043305	negative regulation of mast cell degranulation
GO:0043306	positive regulation of mast cell degranulation
GO:0043308	eosinophil degranulation
GO:0043309	regulation of eosinophil degranulation
GO:0043310	negative regulation of eosinophil degranulation
GO:0043311	positive regulation of eosinophil degranulation
GO:0043312	neutrophil degranulation
GO:0043313	regulation of neutrophil degranulation
GO:0043314	negative regulation of neutrophil degranulation
GO:0043315	positive regulation of neutrophil degranulation
GO:0043316	cytotoxic T cell degranulation
GO:0043317	regulation of cytotoxic T cell degranulation
GO:0043318	negative regulation of cytotoxic T cell degranulation
GO:0043319	positive regulation of cytotoxic T cell degranulation
GO:0043320	natural killer cell degranulation
GO:0043321	regulation of natural killer cell degranulation
GO:0043322	negative regulation of natural killer cell degranulation
GO:0043323	positive regulation of natural killer cell degranulation
GO:0043324	pigment metabolic process during developmental pigmentation
GO:0043327	chemotaxis to cAMP
GO:0043328	protein targeting to vacuole during ubiquitin-dependent protein catabolic process via the MVB pathway
GO:0043329	protein targeting to membrane during ubiquitin-dependent protein catabolic process via the MVB pathway
GO:0043330	response to exogenous dsRNA
GO:0043331	response to dsRNA
GO:0043332	mating projection tip
GO:0043333	2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043334	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043336	site-specific telomere resolvase activity
GO:0043337	CDP-diacylglycerol-phosphatidylglycerol phosphatidyltransferase activity
GO:0043338	CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase
GO:0043353	enucleate erythrocyte differentiation
GO:0043354	enucleate erythrocyte maturation
GO:0043362	nucleate erythrocyte maturation
GO:0043363	nucleate erythrocyte differentiation
GO:0043364	catalysis of free radical formation
GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity
GO:0043367	CD4-positive, alpha beta T cell differentiation
GO:0043368	positive T cell selection
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
GO:0043370	regulation of CD4-positive, alpha beta T cell differentiation
GO:0043371	negative regulation of CD4-positive, alpha beta T cell differentiation
GO:0043372	positive regulation of CD4-positive, alpha beta T cell differentiation
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment
GO:0043374	CD8-positive, alpha-beta T cell differentiation
GO:0043375	CD8-positive, alpha-beta T cell lineage commitment
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043377	negative regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043379	memory T cell differentiation
GO:0043380	regulation of memory T cell differentiation
GO:0043381	negative regulation of memory T cell differentiation
GO:0043382	positive regulation of memory T cell differentiation
GO:0043383	negative T cell selection
GO:0043384	pre-T cell receptor complex
GO:0043385	mycotoxin metabolic process
GO:0043386	mycotoxin biosynthetic process
GO:0043387	mycotoxin catabolic process
GO:0043388	positive regulation of DNA binding
GO:0043389	aflatoxin B metabolic process
GO:0043390	aflatoxin B1 metabolic process
GO:0043391	aflatoxin B2 metabolic process
GO:0043392	negative regulation of DNA binding
GO:0043396	corticotropin-releasing hormone secretion
GO:0043397	regulation of corticotropin-releasing hormone secretion
GO:0043399	tRNA A64-2'-O-ribosylphosphate transferase activity
GO:0043401	steroid hormone mediated signaling
GO:0043402	glucocorticoid mediated signaling
GO:0043403	skeletal muscle regeneration
GO:0043405	regulation of MAP kinase activity
GO:0043406	positive regulation of MAP kinase activity
GO:0043407	negative regulation of MAP kinase activity
GO:0043408	regulation of MAPKKK cascade
GO:0043409	negative regulation of MAPKKK cascade
GO:0043410	positive regulation of MAPKKK cascade
GO:0043415	positive regulation of skeletal muscle regeneration
GO:0043417	negative regulation of skeletal muscle regeneration
GO:0043418	homocysteine catabolic process
GO:0043419	urea catabolic process
GO:0043420	anthranilate metabolic process
GO:0043421	anthranilate catabolic process
GO:0043422	protein kinase B binding
GO:0043424	protein histidine kinase binding
GO:0043427	carbon fixation by 3-hydroxypropionate cycle
GO:0043428	2-heptaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043429	2-nonaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043430	2-decaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043431	2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0043433	negative regulation of transcription factor activity
GO:0043434	response to peptide hormone stimulus
GO:0043435	response to corticotropin-releasing hormone stimulus
GO:0043436	oxoacid metabolic process
GO:0043437	butanoic acid metabolic process
GO:0043438	acetoacetic acid metabolic process
GO:0043439	butanoic acid biosynthetic process
GO:0043440	butanoic acid catabolic process
GO:0043441	acetoacetic acid biosynthetic process
GO:0043442	acetoacetic acid catabolic process
GO:0043443	acetone metabolic process
GO:0043444	acetone catabolic process
GO:0043445	acetone biosynthetic process
GO:0043446	alkane metabolic process
GO:0043447	alkane biosynthetic process
GO:0043448	alkane catabolic process
GO:0043449	alkene metabolic process
GO:0043450	alkene biosynthetic process
GO:0043451	alkene catabolic process
GO:0043452	alkyne metabolic process
GO:0043453	alkyne biosynthetic process
GO:0043454	alkyne catabolic process
GO:0043455	regulation of secondary metabolic process
GO:0043456	regulation of pentose-phosphate shunt
GO:0043458	ethanol biosynthetic process during fermentation
GO:0043461	proton-transporting ATP synthase complex assembly
GO:0043462	regulation of ATPase activity
GO:0043463	regulation of rhamnose catabolic process
GO:0043464	malolactic fermentation
GO:0043474	pigment metabolic process during pigmentation
GO:0043475	pigment metabolic process during pigment accumulation
GO:0043476	pigment accumulation
GO:0043480	pigment accumulation in tissues
GO:0043483	anthocyanin biosynthetic process during anthocyanin accumulation in response to UV light
GO:0043486	histone exchange
GO:0043490	malate-aspartate shuttle
GO:0043491	protein kinase B signaling cascade
GO:0043494	Rik1-E3 ubiquitin ligase complex
GO:0043495	protein anchor
GO:0043500	muscle adaptation
GO:0043501	skeletal muscle adaptation
GO:0043502	regulation of muscle adaptation
GO:0043503	skeletal muscle fiber adaptation
GO:0043505	centromere-specific nucleosome
GO:0043506	regulation of JNK activity
GO:0043507	positive regulation of JNK activity
GO:0043508	negative regulation of JNK activity
GO:0043514	interleukin-12 complex
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator
GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator
GO:0043522	leucine zipper domain binding
GO:0043523	regulation of neuron apoptosis
GO:0043524	negative regulation of neuron apoptosis
GO:0043525	positive regulation of neuron apoptosis
GO:0043529	GET complex
GO:0043530	adenosine 5'-monophosphoramidase activity
GO:0043531	ADP binding
GO:0043533	inositol 1,3,4,5 tetrakisphosphate binding
GO:0043536	positive regulation of blood vessel endothelial cell migration
GO:0043537	negative regulation of blood vessel endothelial cell migration
GO:0043539	protein serine/threonine kinase activator activity
GO:0043545	molybdopterin cofactor metabolic process
GO:0043546	molybdopterin cofactor binding
GO:0043547	positive regulation of GTPase activity
GO:0043552	positive regulation of phosphoinositide 3-kinase activity
GO:0043553	negative regulation of phosphoinositide 3-kinase activity
GO:0043555	regulation of translation in response to stress
GO:0043560	insulin receptor substrate binding
GO:0043564	Ku70:Ku80 complex
GO:0043565	sequence-specific DNA binding
GO:0043566	structure-specific DNA binding
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway
GO:0043571	maintenance of CRISPR repeat elements
GO:0043578	nuclear matrix organization and biogenesis
GO:0043579	elaioplast organization and biogenesis
GO:0043582	sporangium development
GO:0043583	ear development
GO:0043584	nose development
GO:0043585	nose morphogenesis
GO:0043586	tongue development
GO:0043587	tongue morphogenesis
GO:0043588	skin development
GO:0043592	exosporium
GO:0043596	nuclear replication fork
GO:0043597	cytoplasmic replication fork
GO:0043598	cytoplasmic DNA replication factor C complex
GO:0043599	nuclear DNA replication factor C complex
GO:0043600	cytoplasmic replisome
GO:0043601	nuclear replisome
GO:0043602	nitrate catabolic process
GO:0043603	amide metabolic process
GO:0043606	formamide metabolic process
GO:0043611	isoprene metabolic process
GO:0043612	isoprene biosynthetic process
GO:0043613	isoprene catabolic process
GO:0043614	multi-eIF complex
GO:0043615	astrocyte cell migration
GO:0043621	protein self-association
GO:0043622	cortical microtubule organization and biogenesis
GO:0043625	delta DNA polymerase complex
GO:0043626	PCNA complex
GO:0043627	response to estrogen stimulus
GO:0043629	ncRNA polyadenylation
GO:0043635	methylnaphthalene catabolic process
GO:0043636	bisphenol A catabolic process
GO:0043637	puromycin metabolic process
GO:0043639	benzoate catabolic process
GO:0043640	benzoate catabolic process via hydroxylation
GO:0043641	novobiocin metabolic process
GO:0043643	tetracycline metabolic process
GO:0043644	tetracycline biosynthetic process
GO:0043645	cephalosporin metabolic process
GO:0043647	inositol phosphate metabolic process
GO:0043648	dicarboxylic acid metabolic process
GO:0043649	dicarboxylic acid catabolic process
GO:0043650	dicarboxylic acid biosynthetic process
GO:0043651	linoleic acid metabolic process
GO:0043652	engulfment of apoptotic cell
GO:0043653	mitochondrial fragmentation during apoptosis
GO:0043654	recognition of apoptotic cell
GO:0043655	extracellular space of host
GO:0043656	intracellular region of host
GO:0043667	pollen wall
GO:0043670	foot layer
GO:0043674	columella
GO:0043676	tectum
GO:0043677	germination pore
GO:0043679	nerve terminal
GO:0043683	type IV pilus biogenesis
GO:0043684	type IV protein secretion system complex
GO:0043686	co-translational protein modification
GO:0043687	post-translational protein modification
GO:0043692	monoterpene metabolic process
GO:0043693	monoterpene biosynthetic process
GO:0043694	monoterpene catabolic process
GO:0043698	iridosome
GO:0043699	leucosome
GO:0043705	cyanophycin metabolic process
GO:0043712	2-hydroxyisocaproate CoA-transferase
GO:0043714	(R)-citramalate synthase activity
GO:0043715	2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity
GO:0043716	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
GO:0043717	2-hydroxyglutaryl-CoA dehydratase activity
GO:0043718	2-hydroxymethylglutarate dehydrogenase
GO:0043720	3-keto-5-aminohexanoate cleavage activity
GO:0043721	4-hydroxybutyryl-CoA dehydratase activity
GO:0043722	4-hydroxyphenylacetate decarboxylase activity
GO:0043723	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase
GO:0043724	2-keto-3-deoxygalactonate aldolase activity
GO:0043725	2-keto-3-deoxygluconate aldolase activity
GO:0043732	6-hydroxynicotinate dehydrogenase activity
GO:0043733	DNA-3-methyladenine glycosylase III activity
GO:0043734	DNA-N1-methyladenine dioxygenase activity
GO:0043735	delta-9 acyl-phospholipid desaturase activity
GO:0043736	DNA-3-methyladenine glycosylase IV activity
GO:0043737	deoxyribonuclease V activity
GO:0043739	G/U mismatch-specific uracil-DNA glycosylase activity
GO:0043740	GTP cyclohydrolase IIa activity
GO:0043746	N2-acetyl-L-lysine aminotransferase activity
GO:0043747	N2-acetyl-L-lysine deacetylase activity
GO:0043749	phenol, water dikinase activity
GO:0043750	phosphatidylinositol alpha-mannosyltransferase activity
GO:0043751	polyphosphate:AMP phosphotransferase activity
GO:0043752	adenosylcobinamide kinase activity
GO:0043753	adenosylcobinamide-phosphate guanylyltransferase activity
GO:0043754	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity
GO:0043755	alpha-ribazole phosphatase activity
GO:0043756	adenosylcobinamide hydrolase activity
GO:0043757	adenosylcobinamide-phosphate synthase activity
GO:0043758	acetate-CoA ligase (ADP-forming) activity
GO:0043759	branched-chain acyl-CoA synthetase (ADP-forming) activity
GO:0043760	acetyldiaminopimelate aminotransferase activity
GO:0043761	archaetidylserine synthase activity
GO:0043763	UTP:glucose-1-phosphate uridylyltransferase regulator activity
GO:0043765	T/G mismatch-specific endonuclease activity
GO:0043766	Sep-tRNA:Cys-tRNA synthase activity
GO:0043767	pyrrolysyl-tRNA synthetase activity
GO:0043768	S-ribosylhomocysteine lyase activity
GO:0043769	telomere binding complex
GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity
GO:0043773	coenzyme F420-0 gamma-glutamyl ligase activity
GO:0043774	coenzyme F420-2 alpha-glutamyl ligase activity
GO:0043775	cobyrinate a,c-diamide synthase activity
GO:0043776	cobalt-precorrin-6B C5-methyltransferase activity
GO:0043777	cobalt-precorrin-7 C15-methyltransferase activity
GO:0043778	cobalt-precorrin-8 methylmutase activity
GO:0043779	cobalt-precorrin-5A acetaldehyde-lyase activity
GO:0043780	cobalt-precorrin-5B C1-methyltransferase activity
GO:0043781	cobalt-factor II C20-methyltransferase activity
GO:0043782	cobalt-precorrin-3 C17-methyltransferase activity
GO:0043784	cob(II)yrinic acid a,c-diamide reductase activity
GO:0043785	cinnamoyl-CoA:phenyllactate CoA-transferase activity
GO:0043787	chlorophyll synthase activity
GO:0043788	cardiolipin synthetase 2 activity
GO:0043790	dimethyladenosine transferase activity
GO:0043791	dimethylamine methyltransferase activity
GO:0043792	enamidase activity
GO:0043793	beta-ribofuranosylaminobenzene 5'-phosphate synthase activity
